"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1";"C_L4mm_D3mm_P2.54mm_kh";1;"1u";;;
2;"D1";"LED_D3.0mm_kh";1;"LED rot";;;
3;"D2, D4, D5, D6";"LED_D3.0mm_kh";4;"LED gelb";;;
4;"D3";"LED_D3.0mm_kh";1;"LED grün";;;
5;"J1, J2";"PinSocket_1x08_P2.54mm_Vertical_11mm_kh";2;"Conn_01x08_Pin";;;
6;"Q1, Q2, Q3, Q4";"TO-92_Inline_Wide_custom";4;"BS170";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10k";;;
8;"R2, R5, R9, R21, R22, R23";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical_kh";6;"1k";;;
9;"R3, R6, R10, R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";4;"100k";;;
10;"R4, R11, R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical_kh";3;"4k7";;;
11;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"4k7";;;
12;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical_kh";1;"10k";;;
13;"R12, R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"1k";;;
14;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P3.81mm_Vertical_kh";1;"47";;;
15;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P12.7mm_Horizontal_kh";1;"47";;;
16;"SW1, SW2";"SW_Push_DPDT_8x8";2;"SW_Push_DPDT_8x8";;;
