"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1";"C_Rect_L7.0mm_W2.0mm_P5.00mm_kh";1;"100nF";;;
2;"D1, D2, D3, D4";"D_DO-35_P7.62mm_Horizontal_kh";4;"BAT48";;;
3;"D5";"D_DO-35_P12.7mm_Horizontal_kh";1;"BAT48";;;
4;"J1, J2";"PinSocket_1x08_P2.54mm_Vertical_kh";2;"Conn_01x08_Pin";;;
5;"J3, J5";"Box_02x03_P2.54mm_Vertical_kh";2;"Box_02x03_P2.54_Vertical";;;
6;"J4";"Box_02x05_P2.54mm_Vertical_kh";1;"Box_02x05_P2.54_Vertical";;;
7;"JP1";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"Jumper_2_Bridged";;;
8;"R1";"R_Axial_P5.08_Vertical_kh";1;"100k";;;
9;"R2, R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical_kh";2;"100k";;;
10;"R4, R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical_kh";2;"4k7";;;
